Identificador do processo de viagem ,Número da Proposta (PCDP),Sequência Trecho,Origem - Data,Origem - País,Origem - UF,Origem - Cidade,Destino - Data,Destino - País,Destino - UF,Destino - Cidade,Meio de transporte,Número Diárias,Missao?
18831091,000011/24,2,25/02/2024,Brasil,Acre,Rio Branco,25/02/2024,Brasil,Acre,Xapuri,Veículo Próprio,"0,50",Não
18831091,000011/24,1,23/02/2024,Brasil,Acre,Xapuri,25/02/2024,Brasil,Acre,Rio Branco,Veículo Próprio,"2,00",Sim
18831495,000001/24,2,22/01/2024,Brasil,São Paulo,São Paulo,22/01/2024,Brasil,Minas Gerais,Uberlândia,Aéreo,"0,00",Não
18831495,000001/24,1,18/01/2024,Brasil,Minas Gerais,Uberlândia,22/01/2024,Brasil,São Paulo,São Paulo,Aéreo,"0,00",Sim
18831777,000002/24,2,04/03/2024,Brasil,São Paulo,São Paulo,04/03/2024,Brasil,Minas Gerais,Uberlândia,Aéreo,"0,00",Não
18831777,000002/24,1,29/02/2024,Brasil,Minas Gerais,Uberlândia,04/03/2024,Brasil,São Paulo,São Paulo,Aéreo,"0,00",Sim
18831821,000003/24,2,15/04/2024,Brasil,São Paulo,São Paulo,15/04/2024,Brasil,Minas Gerais,Uberlândia,Aéreo,"0,00",Não
18831821,000003/24,1,11/04/2024,Brasil,Minas Gerais,Uberlândia,15/04/2024,Brasil,São Paulo,São Paulo,Aéreo,"0,00",Sim
19177818,000001/24-1C,1,29/01/2024,Brasil,Distrito Federal,Brasília,30/01/2024,França,,Paris,Aéreo,"0,50",Não
19177818,000001/24-1C,2,30/01/2024,França,,Paris,03/02/2024,França,,Lille,Aéreo,"4,00",Sim
19177818,000001/24-1C,3,03/02/2024,França,,Lille,06/02/2024,França,,Paris,Aéreo,"3,00",Sim
19177818,000001/24-1C,4,06/02/2024,França,,Paris,06/02/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,50",Não
19192663,000085/24,2,16/01/2024,Brasil,Sergipe,Nossa Senhora da Glória,16/01/2024,Brasil,Sergipe,Aracaju,Veículo Oficial,"0,50",Não
19192663,000085/24,1,16/01/2024,Brasil,Sergipe,Aracaju,16/01/2024,Brasil,Sergipe,Nossa Senhora da Glória,Veículo Oficial,"0,00",Sim
19255612,000002/24,1,01/01/2024,Alemanha,,Munique,01/01/2024,Alemanha,,Munique,Aéreo,"0,00",Sim
19255612,000002/24,2,01/01/2024,Alemanha,,Munique,03/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Sim
19255728,000001/24,1,01/01/2024,Alemanha,,Munique,01/01/2024,Alemanha,,Munique,Aéreo,"0,00",Sim
19255728,000001/24,2,01/01/2024,Alemanha,,Munique,03/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Sim
19257123,000009/24,1,30/01/2024,Paraguai,,Assunção,30/01/2024,Paraguai,,Assunção,Aéreo,"0,00",Sim
19257123,000009/24,2,30/01/2024,Paraguai,,Assunção,01/02/2024,Brasil,Rio Grande do Norte,Natal,Aéreo,"0,00",Sim
19257179,000008/24,1,30/01/2024,Paraguai,,Assunção,30/01/2024,Paraguai,,Assunção,Aéreo,"0,00",Sim
19257179,000008/24,2,30/01/2024,Paraguai,,Assunção,01/02/2024,Brasil,Rio Grande do Norte,Natal,Aéreo,"0,00",Sim
19257229,000007/24,1,30/01/2024,Paraguai,,Assunção,30/01/2024,Paraguai,,Assunção,Aéreo,"0,00",Sim
19257229,000007/24,2,30/01/2024,Paraguai,,Assunção,01/02/2024,Brasil,Rio Grande do Norte,Natal,Aéreo,"0,00",Sim
19257401,000006/24,1,30/01/2024,Paraguai,,Assunção,30/01/2024,Paraguai,,Assunção,Aéreo,"0,00",Sim
19257401,000006/24,2,30/01/2024,Paraguai,,Assunção,01/02/2024,Brasil,Rio Grande do Norte,Natal,Aéreo,"0,00",Sim
19258057,000005/24,1,06/01/2024,Chile,,Santiago,06/01/2024,Chile,,Santiago,Aéreo,"0,00",Sim
19258057,000005/24,2,06/01/2024,Chile,,Santiago,08/01/2024,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,"0,00",Sim
