Identificador do processo de viagem ,Número da Proposta (PCDP),Sequência Trecho,Origem - Data,Origem - País,Origem - UF,Origem - Cidade,Destino - Data,Destino - País,Destino - UF,Destino - Cidade,Meio de transporte,Número Diárias,Missao?
19258191,000004/24,1,06/01/2024,Chile,,Santiago,06/01/2024,Chile,,Santiago,Aéreo,"0,00",Sim
19258191,000004/24,2,06/01/2024,Chile,,Santiago,08/01/2024,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,"0,00",Sim
19258289,000003/24,1,06/01/2024,Chile,,Santiago,06/01/2024,Chile,,Santiago,Aéreo,"0,00",Sim
19258289,000003/24,2,06/01/2024,Chile,,Santiago,08/01/2024,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,"0,00",Sim
19262909,000011/24,2,18/01/2024,Estados Unidos da América,,Washington,20/01/2024,Brasil,Minas Gerais,Belo Horizonte,Aéreo,"0,00",Sim
19262909,000011/24,1,18/01/2024,Estados Unidos da América,,Washington,18/01/2024,Estados Unidos da América,,Washington,Aéreo,"0,00",Sim
19262998,000010/24,2,18/01/2024,Estados Unidos da América,,Washington,20/01/2024,Brasil,Minas Gerais,Belo Horizonte,Aéreo,"0,00",Sim
19262998,000010/24,1,18/01/2024,Estados Unidos da América,,Washington,18/01/2024,Estados Unidos da América,,Washington,Aéreo,"0,00",Sim
19263369,000012/24,1,07/01/2024,Peru,,Lima,07/01/2024,Peru,,Lima,Aéreo,"0,00",Sim
19263369,000012/24,2,07/01/2024,Peru,,Lima,09/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Sim
19263464,000014/24,1,07/01/2024,Peru,,Lima,07/01/2024,Peru,,Lima,Aéreo,"0,00",Sim
19263464,000014/24,2,07/01/2024,Peru,,Lima,09/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Sim
19263558,000013/24,1,07/01/2024,Peru,,Lima,07/01/2024,Peru,,Lima,Aéreo,"0,00",Sim
19263558,000013/24,2,07/01/2024,Peru,,Lima,09/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Sim
19271367,000016/24-2C,2,13/01/2024,China,,Hangzhou,14/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"1,50",Não
19271367,000016/24-2C,1,03/01/2024,Brasil,Distrito Federal,Brasília,13/01/2024,China,,Hangzhou,Aéreo,"9,50",Sim
19283045,000015/24,2,30/01/2024,Bolívia,,La Paz,01/02/2024,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,"0,00",Sim
19283045,000015/24,1,30/01/2024,Bolívia,,La Paz,30/01/2024,Bolívia,,La Paz,Aéreo,"0,00",Sim
19292022,000019/24,1,30/01/2024,Brasil,Paraná,Foz do Iguaçu,30/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19292144,000020/24,1,30/01/2024,Brasil,Paraná,Foz do Iguaçu,30/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19318138,000016/24,2,05/01/2024,Estados Unidos da América,,Nova York,07/01/2024,Brasil,Ceará,Fortaleza,Aéreo,"0,00",Sim
19318138,000016/24,1,05/01/2024,Estados Unidos da América,,Nova York,05/01/2024,Estados Unidos da América,,Nova York,Aéreo,"0,00",Sim
19318174,000017/24,2,05/01/2024,Estados Unidos da América,,Nova York,07/01/2024,Brasil,Ceará,Fortaleza,Aéreo,"0,00",Sim
19318174,000017/24,1,05/01/2024,Estados Unidos da América,,Nova York,05/01/2024,Estados Unidos da América,,Nova York,Aéreo,"0,00",Sim
19319024,000018/24,2,25/01/2024,França,,Marseille,27/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Sim
19319024,000018/24,1,25/01/2024,França,,Marseille,25/01/2024,França,,Marseille,Aéreo,"0,00",Sim
19327561,000001/24,2,03/01/2024,Brasil,São Paulo,São Paulo,29/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19327561,000001/24,3,29/01/2024,Brasil,Distrito Federal,Brasília,30/01/2024,Brasil,São Paulo,São Paulo,Aéreo,"0,00",Não
19327561,000001/24,4,30/01/2024,Brasil,São Paulo,São Paulo,31/01/2024,Guiné-Equatorial,,Malabo,Aéreo,"0,00",Não
19327561,000001/24,1,02/01/2024,Guiné-Equatorial,,Malabo,03/01/2024,Brasil,São Paulo,São Paulo,Aéreo,"0,00",Não
19333892,000009/24-1C,1,24/02/2024,Brasil,Santa Catarina,Florianópolis,26/02/2024,Espanha,,Madri,Aéreo,"1,50",Sim
19333892,000009/24-1C,3,10/03/2024,Espanha,,Madri,10/03/2024,Brasil,Santa Catarina,Florianópolis,Aéreo,"0,50",Não
19333892,000009/24-1C,2,26/02/2024,Espanha,,Madri,10/03/2024,Espanha,,Madri,Inválido,"0,00",Sim
19334971,000001/24-1C,2,24/01/2024,Brasil,Santa Catarina,Jaguaruna,25/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"1,50",Não
19334971,000001/24-1C,1,23/01/2024,Brasil,Distrito Federal,Brasília,24/01/2024,Brasil,Santa Catarina,Jaguaruna,Aéreo,"1,00",Sim
19340103,000022/24,2,01/01/2024,Alemanha,,Hamburgo,03/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Sim
19340103,000022/24,1,01/01/2024,Alemanha,,Hamburgo,01/01/2024,Alemanha,,Hamburgo,Aéreo,"0,00",Sim
19340300,000021/24,2,01/01/2024,Alemanha,,Hamburgo,03/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Sim
19340300,000021/24,1,01/01/2024,Alemanha,,Hamburgo,01/01/2024,Alemanha,,Hamburgo,Aéreo,"0,00",Sim
19341072,000025/24,1,01/01/2024,Alemanha,,Munique,01/01/2024,Alemanha,,Munique,Aéreo,"0,00",Sim
19341072,000025/24,2,01/01/2024,Alemanha,,Munique,03/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19341178,000023/24,1,01/01/2024,Alemanha,,Munique,01/01/2024,Alemanha,,Munique,Aéreo,"0,00",Sim
19341178,000023/24,2,01/01/2024,Alemanha,,Munique,03/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19341294,000003/24-1C,1,18/01/2024,Brasil,Distrito Federal,Brasília,27/01/2024,Rússia,,São Petersburgo,Aéreo,"8,50",Sim
19341294,000003/24-1C,2,27/01/2024,Rússia,,São Petersburgo,27/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,50",Não
19343149,000012/24,2,01/04/2024,Brasil,Bahia,Salvador,01/04/2024,Brasil,Santa Catarina,Florianópolis,Aéreo,"0,00",Não
19343149,000012/24,1,22/03/2024,Brasil,Santa Catarina,Florianópolis,01/04/2024,Brasil,Bahia,Salvador,Aéreo,"0,00",Sim
19343193,000024/24,1,01/01/2024,Alemanha,,Munique,01/01/2024,Alemanha,,Munique,Aéreo,"0,00",Sim
19343193,000024/24,2,01/01/2024,Alemanha,,Munique,03/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19343637,000029/24,1,01/01/2024,Alemanha,,Hamburgo,01/01/2024,Alemanha,,Hamburgo,Aéreo,"0,00",Sim
19343637,000029/24,2,01/01/2024,Alemanha,,Hamburgo,03/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Sim
19343760,000028/24,1,01/01/2024,Alemanha,,Hamburgo,01/01/2024,Alemanha,,Hamburgo,Aéreo,"0,00",Sim
19343760,000028/24,2,01/01/2024,Alemanha,,Hamburgo,03/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Sim
19343845,000027/24,1,01/01/2024,Alemanha,,Hamburgo,01/01/2024,Alemanha,,Hamburgo,Aéreo,"0,00",Sim
19343845,000027/24,2,01/01/2024,Alemanha,,Hamburgo,03/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Sim
19343973,000026/24,1,01/01/2024,Alemanha,,Hamburgo,01/01/2024,Alemanha,,Hamburgo,Aéreo,"0,00",Sim
19343973,000026/24,2,01/01/2024,Alemanha,,Hamburgo,03/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Sim
19352985,000037/24,1,01/01/2024,Alemanha,,Colônia - Renânia do Norte,01/01/2024,Alemanha,,Colônia - Renânia do Norte,Aéreo,"0,00",Sim
19352985,000037/24,2,01/01/2024,Alemanha,,Colônia - Renânia do Norte,03/01/2024,Brasil,Paraná,Curitiba,Aéreo,"0,00",Sim
19353078,000036/24,1,01/01/2024,Alemanha,,Colônia - Renânia do Norte,01/01/2024,Alemanha,,Colônia - Renânia do Norte,Aéreo,"0,00",Sim
19353078,000036/24,2,01/01/2024,Alemanha,,Colônia - Renânia do Norte,03/01/2024,Brasil,Paraná,Curitiba,Aéreo,"0,00",Sim
19353159,000034/24,1,01/01/2024,Alemanha,,Colônia - Renânia do Norte,01/01/2024,Alemanha,,Colônia - Renânia do Norte,Aéreo,"0,00",Sim
19353159,000034/24,2,01/01/2024,Alemanha,,Colônia - Renânia do Norte,03/01/2024,Brasil,Paraná,Curitiba,Aéreo,"0,00",Sim
19353243,000035/24,1,01/01/2024,Alemanha,,Colônia - Renânia do Norte,01/01/2024,Alemanha,,Colônia - Renânia do Norte,Aéreo,"0,00",Sim
19353243,000035/24,2,01/01/2024,Alemanha,,Colônia - Renânia do Norte,03/01/2024,Brasil,Paraná,Curitiba,Aéreo,"0,00",Sim
19354451,000001/24-1C,1,19/02/2024,Brasil,Paraná,Curitiba,01/03/2024,Brasil,Pernambuco,Recife,Aéreo,"11,00",Sim
19354451,000001/24-1C,2,01/03/2024,Brasil,Pernambuco,Recife,01/03/2024,Brasil,Paraná,Curitiba,Aéreo,"0,50",Não
19354920,000041/24,1,05/01/2024,França,,Marseille,05/01/2024,França,,Marseille,Aéreo,"0,00",Sim
19354920,000041/24,2,05/01/2024,França,,Marseille,07/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19355026,000040/24,1,05/01/2024,França,,Marseille,05/01/2024,França,,Marseille,Aéreo,"0,00",Sim
19355026,000040/24,2,05/01/2024,França,,Marseille,07/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19355122,000039/24,1,05/01/2024,França,,Marseille,05/01/2024,França,,Marseille,Aéreo,"0,00",Sim
19355122,000039/24,2,05/01/2024,França,,Marseille,07/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19355148,000030/24-1C,2,21/01/2024,Brasil,Distrito Federal,Brasília,21/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,50",Não
19355148,000030/24-1C,1,18/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,21/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"3,00",Sim
19355199,000038/24,1,05/01/2024,França,,Marseille,05/01/2024,França,,Marseille,Aéreo,"0,00",Sim
19355199,000038/24,2,05/01/2024,França,,Marseille,07/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19355246,000031/24-1C,2,31/01/2024,Brasil,Distrito Federal,Brasília,31/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,50",Não
19355246,000031/24-1C,1,29/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,31/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"2,00",Sim
19355354,000032/24-1C,2,19/01/2024,Brasil,Distrito Federal,Brasília,19/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,00",Não
19355354,000032/24-1C,1,18/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,19/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"1,00",Sim
19355467,000033/24-1C,1,31/01/2024,Brasil,Distrito Federal,Brasília,31/01/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"0,50",Sim
19358162,000001/24,2,14/02/2024,Brasil,Rio Grande do Sul,Porto Alegre,15/02/2024,Brasil,Minas Gerais,Belo Horizonte,Aéreo,"0,00",Não
19358162,000001/24,3,15/02/2024,Brasil,Minas Gerais,Belo Horizonte,19/02/2024,Brasil,Minas Gerais,Santa Bárbara,Rodoviário,"0,00",Sim
19358162,000001/24,4,19/02/2024,Brasil,Minas Gerais,Santa Bárbara,20/02/2024,Brasil,Minas Gerais,Belo Horizonte,Rodoviário,"0,00",Não
19358162,000001/24,1,14/02/2024,Brasil,Rio Grande do Sul,Pelotas,14/02/2024,Brasil,Rio Grande do Sul,Porto Alegre,Rodoviário,"0,00",Não
19358162,000001/24,5,20/02/2024,Brasil,Minas Gerais,Belo Horizonte,20/02/2024,Brasil,Rio Grande do Sul,Pelotas,Aéreo,"0,00",Não
19360481,000046/24,1,30/01/2024,Uruguai,,Montevidéu,30/01/2024,Uruguai,,Montevidéu,Aéreo,"0,00",Sim
19360481,000046/24,2,30/01/2024,Uruguai,,Montevidéu,01/02/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19360522,000045/24,1,30/01/2024,Uruguai,,Montevidéu,30/01/2024,Uruguai,,Montevidéu,Aéreo,"0,00",Sim
19360522,000045/24,2,30/01/2024,Uruguai,,Montevidéu,01/02/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19360549,000044/24,1,30/01/2024,Uruguai,,Montevidéu,30/01/2024,Uruguai,,Montevidéu,Aéreo,"0,00",Sim
19360549,000044/24,2,30/01/2024,Uruguai,,Montevidéu,01/02/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19360619,000043/24,1,30/01/2024,Uruguai,,Montevidéu,30/01/2024,Uruguai,,Montevidéu,Aéreo,"0,00",Sim
19360619,000043/24,2,30/01/2024,Uruguai,,Montevidéu,01/02/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19362342,000002/24-1C,1,10/02/2024,Brasil,Distrito Federal,Brasília,14/02/2024,França,,Paris,Aéreo,"3,50",Sim
19362342,000002/24-1C,2,14/02/2024,França,,Paris,14/02/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Não
19366499,000001/24,2,02/01/2024,Brasil,São Paulo,Guarulhos,04/01/2024,Itália,,Gênova,Aéreo,"0,00",Não
19366499,000001/24,1,02/01/2024,Brasil,Minas Gerais,Lavras,02/01/2024,Brasil,São Paulo,Guarulhos,Veículo Próprio,"0,00",Não
19366499,000001/24,3,04/01/2024,Itália,,Gênova,24/02/2024,Itália,,Gênova,Inválido,"0,00",Sim
19366499,000001/24,4,24/02/2024,Itália,,Gênova,25/02/2024,Brasil,São Paulo,Guarulhos,Aéreo,"0,00",Não
19366499,000001/24,5,25/02/2024,Brasil,São Paulo,Guarulhos,26/02/2024,Brasil,Minas Gerais,Lavras,Veículo Próprio,"0,00",Não
19369515,000052/24,1,20/01/2024,Brasil,Distrito Federal,Brasília,21/01/2024,Estados Unidos da América,,Corning - Nova Iorque,Aéreo,"0,50",Sim
19369515,000052/24,5,29/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,30/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"1,50",Não
19369515,000052/24,2,21/01/2024,Estados Unidos da América,,Corning - Nova Iorque,24/01/2024,Estados Unidos da América,,Corning - Nova Iorque,Inválido,"3,00",Sim
19369515,000052/24,3,24/01/2024,Estados Unidos da América,,Corning - Nova Iorque,24/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,Rodoviário,"0,00",Não
19369515,000052/24,4,24/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,29/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,Inválido,"5,00",Sim
19369984,000056/24,5,29/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,30/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"1,50",Não
19369984,000056/24,1,20/01/2024,Brasil,Distrito Federal,Brasília,21/01/2024,Estados Unidos da América,,Corning - Nova Iorque,Aéreo,"0,50",Sim
19369984,000056/24,3,24/01/2024,Estados Unidos da América,,Corning - Nova Iorque,24/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,Rodoviário,"0,00",Não
19369984,000056/24,2,21/01/2024,Estados Unidos da América,,Corning - Nova Iorque,24/01/2024,Estados Unidos da América,,Corning - Nova Iorque,Inválido,"3,00",Sim
19369984,000056/24,4,24/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,29/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,Inválido,"5,00",Sim
19370109,000060/24,5,29/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,30/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"1,50",Não
19370109,000060/24,1,20/01/2024,Brasil,Distrito Federal,Brasília,21/01/2024,Estados Unidos da América,,Corning - Nova Iorque,Aéreo,"0,50",Sim
19370109,000060/24,3,24/01/2024,Estados Unidos da América,,Corning - Nova Iorque,24/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,Rodoviário,"0,00",Não
19370109,000060/24,2,21/01/2024,Estados Unidos da América,,Corning - Nova Iorque,24/01/2024,Estados Unidos da América,,Corning - Nova Iorque,Inválido,"3,00",Sim
19370109,000060/24,4,24/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,29/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,Inválido,"5,00",Sim
19370207,000051/24,5,29/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,30/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"1,50",Não
19370207,000051/24,1,20/01/2024,Brasil,Distrito Federal,Brasília,21/01/2024,Estados Unidos da América,,Corning - Nova Iorque,Aéreo,"0,50",Sim
19370207,000051/24,3,24/01/2024,Estados Unidos da América,,Corning - Nova Iorque,24/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,Rodoviário,"0,00",Não
19370207,000051/24,2,21/01/2024,Estados Unidos da América,,Corning - Nova Iorque,24/01/2024,Estados Unidos da América,,Corning - Nova Iorque,Inválido,"3,00",Sim
19370207,000051/24,4,24/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,29/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,Inválido,"5,00",Sim
19370341,000094/24,2,30/01/2024,Paraguai,,Assunção,01/02/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19370341,000094/24,1,30/01/2024,Paraguai,,Assunção,30/01/2024,Paraguai,,Assunção,Aéreo,"0,00",Sim
19370395,000093/24,2,30/01/2024,Paraguai,,Assunção,01/02/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19370395,000093/24,1,30/01/2024,Paraguai,,Assunção,30/01/2024,Paraguai,,Assunção,Aéreo,"0,00",Sim
19370445,000092/24,2,30/01/2024,Paraguai,,Assunção,01/02/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19370445,000092/24,1,30/01/2024,Paraguai,,Assunção,30/01/2024,Paraguai,,Assunção,Aéreo,"0,00",Sim
19370853,000005/24,1,01/04/2024,Brasil,Rio de Janeiro,Angra dos Reis,30/06/2024,Brasil,Rio de Janeiro,Niterói,Rodoviário,"0,00",Sim
19370853,000005/24,2,30/06/2024,Brasil,Rio de Janeiro,Niterói,30/06/2024,Brasil,Rio de Janeiro,Angra dos Reis,Rodoviário,"0,00",Não
19374318,000066/24,3,20/01/2024,Brasil,São Paulo,Guarulhos,20/01/2024,Brasil,São Paulo,Taubaté,Rodoviário,"0,00",Sim
19374318,000066/24,2,18/01/2024,Estados Unidos da América,,Washington,20/01/2024,Brasil,São Paulo,Guarulhos,Aéreo,"0,00",Sim
19374318,000066/24,1,18/01/2024,Estados Unidos da América,,Washington,18/01/2024,Estados Unidos da América,,Washington,Aéreo,"0,00",Sim
19374401,000065/24,3,20/01/2024,Brasil,São Paulo,Guarulhos,20/01/2024,Brasil,São Paulo,Taubaté,Aéreo,"0,00",Sim
19374401,000065/24,2,18/01/2024,Estados Unidos da América,,Washington,20/01/2024,Brasil,São Paulo,Guarulhos,Aéreo,"0,00",Sim
19374401,000065/24,1,18/01/2024,Estados Unidos da América,,Washington,18/01/2024,Estados Unidos da América,,Washington,Aéreo,"0,00",Sim
19374470,000064/24,3,20/01/2024,Brasil,São Paulo,Guarulhos,20/01/2024,Brasil,São Paulo,Taubaté,Aéreo,"0,00",Sim
19374470,000064/24,2,18/01/2024,Estados Unidos da América,,Washington,20/01/2024,Brasil,São Paulo,Guarulhos,Aéreo,"0,00",Sim
19374470,000064/24,1,18/01/2024,Estados Unidos da América,,Washington,18/01/2024,Estados Unidos da América,,Washington,Aéreo,"0,00",Sim
19376925,000014/24,1,20/01/2024,Itália,,Roma,20/01/2024,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,"0,00",Não
19377206,000002/24,1,09/02/2024,Rússia,,Moscou,09/02/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19377215,000003/24,1,27/01/2024,Peru,,Lima,27/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19377292,000004/24,1,27/01/2024,Peru,,Lima,27/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19377314,000001/24,1,09/02/2024,Rússia,,Moscou,09/02/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Não
19377424,000005/24,1,27/01/2024,Peru,,Lima,27/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Não
19377472,000008/24,1,13/01/2024,China,,Pequim,14/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19377571,000009/24,1,13/01/2024,China,,Pequim,14/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
19377656,000010/24,1,13/01/2024,China,,Pequim,14/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Não
19377725,000006/24,1,26/01/2024,Reino Unido,,Londres,27/01/2024,Brasil,São Paulo,São Paulo,Aéreo,"0,00",Sim
19377791,000007/24,1,26/01/2024,Reino Unido,,Londres,27/01/2024,Brasil,São Paulo,São Paulo,Aéreo,"0,00",Não
19377832,000013/24,1,23/02/2024,Itália,,Roma,24/02/2024,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,"0,00",Sim
19377958,000016/24,1,20/01/2024,Itália,,Roma,20/01/2024,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,"0,00",Não
19377979,000015/24,1,20/01/2024,Itália,,Roma,20/01/2024,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,"0,00",Não
19378400,000011/24,1,26/01/2024,Bélgica,,Bruxelas,27/01/2024,Brasil,Rio Grande do Sul,Porto Alegre,Aéreo,"0,00",Sim
19379923,000049/24,1,20/01/2024,Brasil,Distrito Federal,Brasília,21/01/2024,Estados Unidos da América,,Corning - Nova Iorque,Aéreo,"0,00",Sim
19379923,000049/24,5,29/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,29/01/2024,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Não
19379923,000049/24,2,21/01/2024,Estados Unidos da América,,Corning - Nova Iorque,24/01/2024,Estados Unidos da América,,Corning - Nova Iorque,Inválido,"0,00",Sim
19379923,000049/24,3,24/01/2024,Estados Unidos da América,,Corning - Nova Iorque,24/01/2024,Estados Unidos da América,,Filadelfia - Pensilvânia,Rodoviário,"0,00",Não
